,Name,Transmission type,Variant,Mileage,Owned,Fuel type,City,Price
47,2018 Ford Ecosport,Manual,1.5TITANIUM TDCI Manual,"21,676 km",1st Owner,Diesel,Rohtak,"₹7,81,599"
48,2018 Maruti Dzire,Manual,VDI Manual,"29,735 km",1st Owner,Diesel,Rohtak,"₹6,47,099"
49,2015 Toyota Fortuner,Automatic,3.0 AT 4X2 Automatic,"1,15,431 km",1st Owner,Diesel,Rohtak,"₹16,37,699"
50,2019 Maruti Baleno,Manual,DELTA 1.2 K12 Manual,"13,973 km",1st Owner,Petrol,Rohtak,"₹6,40,599"
51,2018 Maruti Baleno,Manual,ZETA 1.2 K12 Manual,"43,051 km",2nd Owner,Petrol,Rohtak,"₹5,90,999"
52,2014 Toyota Corolla Altis,Manual,D 4D J Manual,"1,03,033 km",1st Owner,Diesel,Rohtak,"₹7,41,199"
53,2015 Maruti Swift,Manual,VDI ABS Manual,"37,925 km",1st Owner,Diesel,Rohtak,"₹4,28,999"
54,2020 MG HECTOR,Manual,SHARP HYBIRD PETROL MT Manual,"3,094 km",1st Owner,Petrol,Rohtak,"₹17,37,599"
55,2018 Maruti Vitara Brezza,Manual,VDI OPT Manual,"71,192 km",1st Owner,Diesel,Rohtak,"₹7,20,399"
56,2016 Audi A3,Automatic,40 TFSI PREMIUM Automatic,"76,786 km",1st Owner,Petrol,Rohtak,"₹18,21,199"
57,2019 Maruti Vitara Brezza,Manual,VDI Manual,"38,597 km",1st Owner,Diesel,Rohtak,"₹7,62,899"
58,2010 Hyundai i10,Manual,ERA Manual,"80,574 km",3rd Owner,Petrol,Rohtak,"₹1,95,299"
59,2018 Maruti Alto 800,Manual,LXI Manual,"33,865 km",1st Owner,Petrol,Rohtak,"₹2,83,599"
60,2019 Maruti Vitara Brezza,Manual,VDI Manual,"25,374 km",1st Owner,Diesel,Rohtak,"₹8,09,599"
61,2013 Maruti Ertiga,Manual,VDI ABS Manual,"27,420 km",1st Owner,Diesel,Rohtak,"₹5,41,699"
62,2017 Hyundai Creta,Automatic,1.6 CRDI SX PLUS AUTO Automatic,"82,907 km",1st Owner,Diesel,Rohtak,"₹10,82,399"
63,2018 Hyundai Tucson New,Automatic,2WD AT GL DIESEL Automatic,"58,368 km",1st Owner,Diesel,Rohtak,"₹19,87,099"
64,2019 Maruti Baleno,Manual,DELTA 1.2 K12 Manual,"20,976 km",1st Owner,Petrol,Rohtak,"₹7,29,999"
65,2020 Maruti New Wagon-R,Manual,VXI 1.2L Manual,"8,495 km",2nd Owner,Petrol,Rohtak,"₹5,14,799"
66,2013 Ford Ecosport,Manual,1.5 AMBIENTE TDCI Manual,"1,13,857 km",1st Owner,Diesel,Rohtak,"₹3,93,799"
67,2016 Maruti Vitara Brezza,Manual,VDI OPT Manual,"98,517 km",1st Owner,Diesel,Rohtak,"₹6,85,499"
68,2016 Maruti Vitara Brezza,Manual,ZDI Manual,"70,555 km",2nd Owner,Diesel,Rohtak,"₹6,57,499"
69,2013 Toyota Corolla Altis,Manual,D 4D JS Manual,"92,391 km",1st Owner,Diesel,Rohtak,"₹4,89,099"
70,2012 Hyundai i20,Manual,SPORTZ 1.4 CRDI Manual,"1,20,951 km",1st Owner,Diesel,Rohtak,"₹3,50,499"
71,2015 Maruti Ciaz,Manual,VDI+ SHVS Manual,"1,21,025 km",2nd Owner,Diesel,Rohtak,"₹5,04,999"
72,2016 Maruti Vitara Brezza,Manual,ZDI Manual,"54,460 km",1st Owner,Diesel,Rohtak,"₹6,80,499"
73,2016 Skoda Superb,Automatic,1.8 TSI LK AT Automatic,"38,718 km",3rd Owner,Petrol,Rohtak,"₹16,42,399"
74,2020 Maruti S PRESSO,Manual,VXI Manual,"19,386 km",1st Owner,Petrol,Rohtak,"₹4,04,299"
75,2017 Maruti Baleno,Manual,ALPHA DDIS 190 Manual,"76,285 km",2nd Owner,Diesel,Rohtak,"₹5,30,699"
76,2018 Maruti Vitara Brezza,Manual,VDI OPT Manual,"60,395 km",1st Owner,Diesel,Rohtak,"₹6,83,399"
77,2017 Maruti Baleno,Manual,ZETA DDIS 190 Manual,"69,954 km",1st Owner,Diesel,Rohtak,"₹5,21,399"
78,2018 Maruti Vitara Brezza,Manual,VDI Manual,"27,113 km",1st Owner,Diesel,Rohtak,"₹7,23,599"
79,2015 Maruti Swift,Manual,VXI Manual,"41,046 km",2nd Owner,Petrol,Rohtak,"₹3,98,199"
80,2017 Maruti Vitara Brezza,Manual,VDI OPT Manual,"34,749 km",1st Owner,Diesel,Rohtak,"₹6,89,699"
81,2018 Datsun Redi Go,,1.0 S AT,"21,607 km",1st Owner,Petrol,Rohtak,"₹3,49,099"
82,2019 Maruti Alto,Manual,VXI Manual,"13,299 km",1st Owner,Petrol,Rohtak,"₹3,58,999"
83,2013 Maruti Swift,Manual,VDI Manual,"76,608 km",1st Owner,Diesel,Rohtak,"₹3,54,799"
84,2018 Maruti Vitara Brezza,Automatic,ZDI + AMT Automatic,"28,144 km",1st Owner,Diesel,Rohtak,"₹9,35,099"
85,2017 Maruti Vitara Brezza,Manual,VDI OPT Manual,"79,494 km",1st Owner,Diesel,Rohtak,"₹7,10,399"
86,2015 Maruti Swift,Manual,LDI O Manual,"68,276 km",1st Owner,Diesel,Rohtak,"₹4,22,699"
87,2017 Maruti Baleno,Manual,DELTA 1.2 K12 Manual,"20,990 km",1st Owner,Petrol,Rohtak,"₹6,26,699"
88,2020 Maruti S PRESSO,Manual,VXI Manual,"6,030 km",1st Owner,Petrol,Rohtak,"₹4,33,799"
89,2018 Maruti Eeco,Manual,7 STR Manual,"18,876 km",2nd Owner,Petrol,Rohtak,"₹3,43,799"
90,2013 Maruti Swift Dzire,Manual,VDI BS IV Manual,"34,527 km",1st Owner,Diesel,Rohtak,"₹3,65,399"
91,2014 Maruti Swift,Manual,VDI ABS Manual,"50,211 km",2nd Owner,Diesel,Rohtak,"₹4,03,399"
92,2012 Maruti Swift Dzire,Manual,VDI BS IV Manual,"49,310 km",1st Owner,Diesel,Rohtak,"₹3,68,699"
93,2013 Hyundai i10,Manual,SPORTZ 1.2 KAPPA2 Manual,"32,136 km",1st Owner,Petrol,Rohtak,"₹3,74,499"
94,2016 Maruti Alto 800,Manual,VXI Manual,"47,862 km",1st Owner,Petrol,Rohtak,"₹3,19,099"
95,2014 Maruti Alto 800,Manual,LX Manual,"60,884 km",3rd Owner,Petrol,Rohtak,"₹2,95,999"
96,2012 Maruti Swift Dzire,Manual,VDI BS IV Manual,"77,730 km",1st Owner,Diesel,Rohtak,"₹4,36,399"
97,2019 Maruti Alto K10,Manual,VXI Manual,"18,134 km",1st Owner,Petrol,Rohtak,"₹3,70,299"
98,2021 Maruti S PRESSO,Manual,VXI PLUS Manual,"1,839 km",1st Owner,Petrol,Rohtak,"₹4,64,199"
99,2016 Renault Duster,Manual,RXL 85PS EXPLORE Manual,"30,814 km",1st Owner,Diesel,Rohtak,"₹5,22,199"
100,2012 Honda City,Manual,V MT SUNROOF Manual,"21,306 km",1st Owner,Petrol,Rohtak,"₹5,18,399"
101,2016 Maruti Alto K10,Manual,VXI AMT Manual,"15,471 km",1st Owner,Petrol,Rohtak,"₹3,50,699"
102,2019 Maruti Eeco,Manual,5 STR WITH AC PLUSHTR Manual,"8,579 km",1st Owner,Petrol,Rohtak,"₹4,45,599"
103,2015 Maruti Swift,Manual,ZXI Manual,"39,708 km",1st Owner,Petrol,Rohtak,"₹4,59,099"
104,2016 Hyundai Creta,Manual,1.6 SX (O) CRDI Manual,"55,835 km",1st Owner,Diesel,Rohtak,"₹9,77,899"
105,2019 Tata Tiago,Manual,XT 1.2 REVOTRON Manual,"34,685 km",1st Owner,Petrol,Rohtak,"₹4,50,299"
106,2019 Renault Kwid,Manual,RXL Manual,"13,458 km",1st Owner,Petrol,Rohtak,"₹3,44,299"
107,2021 HYUNDAI NEW I20,Manual,MAGNA 1.2 MT Manual,"1,026 km",1st Owner,Petrol,Rohtak,"₹7,34,799"
108,2014 Renault Duster,Manual,85 PS RXE DIESEL ADVENTURE Manual,"89,243 km",1st Owner,Diesel,Rohtak,"₹4,93,499"
109,2011 Hyundai i20,Manual,MAGNA O 1.2 Manual,"44,007 km",1st Owner,Petrol,Rohtak,"₹2,58,999"
110,2011 Hyundai i10,Manual,ERA 1.1 IRDE Manual,"55,623 km",1st Owner,Petrol,Rohtak,"₹1,88,799"
111,2016 Hyundai Grand i10,Manual,MAGNA 1.2 KAPPA VTVT Manual,"26,951 km",1st Owner,Petrol,Rohtak,"₹4,15,399"
112,2009 Maruti Wagon R,Manual,LXI MINOR Manual,"36,035 km",1st Owner,Petrol,Rohtak,"₹1,48,199"
113,2016 Maruti Ciaz,Manual,VDI+ SHVS Manual,"41,484 km",1st Owner,Diesel,Rohtak,"₹5,48,199"
114,2020 Maruti Alto,Manual,LXI Manual,"19,593 km",1st Owner,Petrol + CNG,Rohtak,"₹3,54,799"
115,2014 Nissan Terrano,Manual,XL PLUS 85 PS DEISEL Manual,"53,750 km",1st Owner,Diesel,Rohtak,"₹4,47,599"
116,2015 Mahindra Scorpio,Manual,S8 Manual,"60,362 km",2nd Owner,Diesel,Rohtak,"₹8,24,599"
117,2015 Hyundai Elite i20,Manual,SPORTZ 1.2 Manual,"31,359 km",1st Owner,Petrol,Rohtak,"₹4,67,199"
118,2009 Maruti Alto,Manual,LXI Manual,"1,19,227 km",1st Owner,Petrol,Rohtak,"₹1,26,399"
119,2016 Volkswagen Vento,Manual,COMFORTLINE MT PETROL Manual,"19,369 km",1st Owner,Petrol,Rohtak,"₹5,93,799"
120,2017 Honda WR-V,Manual,1.5 i-DTEC S MT Manual,"79,597 km",1st Owner,Diesel,Rohtak,"₹5,61,099"
121,2013 Maruti Ertiga,Manual,ZXI Manual,"30,598 km",1st Owner,Petrol,Rohtak,"₹4,86,999"
122,2010 Honda City,Manual,S MT PETROL Manual,"47,405 km",1st Owner,Petrol,Rohtak,"₹3,68,099"
123,2016 Maruti S Cross,Manual,ZETA 1.3 Manual,"71,401 km",1st Owner,Diesel,Rohtak,"₹4,86,099"
124,2009 Maruti Ritz,Manual,VXI Manual,"1,19,824 km",1st Owner,Petrol,Rohtak,"₹1,69,099"
125,2014 Maruti Ertiga,Manual,VDI ABS Manual,"78,074 km",1st Owner,Diesel,Rohtak,"₹4,36,499"
126,2016 Hyundai Creta,Manual,1.6 BASE Manual,"91,156 km",1st Owner,Petrol + CNG,Rohtak,"₹6,54,399"
127,2013 Hyundai Eon,Manual,D LITE PLUS Manual,"1,06,269 km",1st Owner,Petrol,Rohtak,"₹1,93,699"
128,2013 Hyundai Verna,Manual,FLUIDIC 1.6 SX CRDI OPT Manual,"53,517 km",1st Owner,Diesel,Rohtak,"₹4,96,699"
129,2014 Maruti Swift Dzire,Manual,LDI BS IV Manual,"1,18,729 km",2nd Owner,Diesel,Rohtak,"₹3,30,299"
130,2015 Maruti Swift,Manual,LXI OPT Manual,"56,109 km",1st Owner,Petrol,Rohtak,"₹3,85,399"
131,2014 Maruti Swift Dzire,Manual,VXI 1.2 BS IV Manual,"38,906 km",1st Owner,Petrol,Rohtak,"₹3,80,399"
132,2012 Honda City,Manual,1.5 E MT PETROL Manual,"62,729 km",1st Owner,Petrol,Rohtak,"₹3,92,899"
133,2016 Maruti Swift,Manual,LXI OPT Manual,"58,534 km",1st Owner,Petrol,Rohtak,"₹3,87,599"
134,2016 Maruti Swift,Manual,LXI OPT Manual,"23,746 km",1st Owner,Petrol,Rohtak,"₹4,10,899"
135,2018 Tata Tiago,Manual,XT 1.2 REVOTRON Manual,"32,270 km",2nd Owner,Petrol,Rohtak,"₹3,68,599"
136,2014 Maruti Swift Dzire,Manual,VDI BS IV Manual,"87,119 km",1st Owner,Diesel,Rohtak,"₹4,12,199"
137,2009 Maruti Alto,Manual,LXI Manual,"55,752 km",1st Owner,Petrol,Rohtak,"₹1,40,299"
138,2015 Toyota Etios,Manual,VD 1.4 Manual,"62,623 km",1st Owner,Diesel,Rohtak,"₹4,96,099"
139,2016 Maruti S Cross,Manual,ALPHA 1.3 Manual,"1,31,887 km",1st Owner,Diesel,Rohtak,"₹6,25,899"
140,2019 Hyundai Elite i20,Manual,1.2 MAGNA PLUS VTVT Manual,"21,556 km",1st Owner,Petrol,Rohtak,"₹5,60,499"
141,2015 Maruti Swift,Manual,VDI ABS Manual,"1,64,520 km",1st Owner,Diesel,Rohtak,"₹4,05,199"
142,2018 Volkswagen Polo,Manual,COMFORTLINE 1.0 PETROL Manual,"23,826 km",1st Owner,Petrol,Rohtak,"₹5,11,299"
143,2015 Maruti Celerio,Automatic,VXI AMT Automatic,"40,994 km",2nd Owner,Petrol,Rohtak,"₹3,62,199"
144,2019 Tata NEXON,Manual,XM 1.2 Manual,"31,201 km",1st Owner,Petrol,Rohtak,"₹6,46,699"
145,2012 Maruti Swift,Manual,ZXI Manual,"70,572 km",1st Owner,Petrol,Rohtak,"₹4,46,999"
146,2013 Maruti Swift,Manual,VDI Manual,"45,868 km",1st Owner,Diesel,Rohtak,"₹3,41,999"
147,2013 Volkswagen Vento,Manual,HIGHLINE DIESEL Manual,"61,418 km",1st Owner,Diesel,Rohtak,"₹2,93,999"
148,2016 Maruti Ciaz,Manual,VXI PLUS Manual,"32,386 km",1st Owner,Petrol,Rohtak,"₹6,17,399"
149,2016 Maruti Swift,Manual,ZDI Manual,"57,783 km",2nd Owner,Diesel,Rohtak,"₹4,62,299"
150,2017 Maruti Dzire,Manual,VDI Manual,"71,701 km",1st Owner,Diesel,Rohtak,"₹5,25,899"
151,2014 Maruti Swift,Manual,VDI ABS Manual,"61,013 km",1st Owner,Diesel,Rohtak,"₹3,70,399"
152,2014 Maruti Swift,Manual,VDI Manual,"1,58,233 km",1st Owner,Diesel,Rohtak,"₹3,39,099"
153,2016 Maruti Celerio,Manual,VXI Manual,"17,543 km",1st Owner,Petrol,Rohtak,"₹3,94,499"
154,2018 Renault Kwid,Manual,RXL Manual,"25,688 km",1st Owner,Petrol,Rohtak,"₹3,12,899"
155,2017 Maruti Ciaz,Manual,VDI+ SHVS Manual,"1,07,013 km",1st Owner,Diesel,Rohtak,"₹5,35,599"
156,2014 Honda Amaze,Manual,1.2 SMT I VTEC Manual,"60,697 km",1st Owner,Petrol,Rohtak,"₹3,33,199"
157,2018 Hyundai Creta,,1.4 E PLUS CRDI,"32,387 km",1st Owner,Diesel,Rohtak,"₹9,22,199"
158,2015 Honda Amaze,Manual,1.2 SMT I VTEC Manual,"1,31,691 km",1st Owner,Petrol,Rohtak,"₹3,30,199"
159,2017 Maruti Wagon R 1.0,Manual,VXI Manual,"55,482 km",1st Owner,Petrol,Rohtak,"₹3,49,999"
160,2014 Maruti Swift,Manual,ZDI Manual,"72,636 km",1st Owner,Diesel,Rohtak,"₹4,37,699"
161,2020 Maruti New Wagon-R,Manual,VXI 1.0 Manual,"14,108 km",1st Owner,Petrol,Rohtak,"₹4,82,499"
162,2020 Maruti Ertiga,Manual,VXI SMART HYBRID Manual,"19,879 km",1st Owner,Petrol,Rohtak,"₹8,23,199"
163,2020 Maruti New Wagon-R,Manual,VXI 1.0 Manual,"3,865 km",1st Owner,Petrol,Rohtak,"₹4,88,899"
164,2017 Maruti Wagon R 1.0,Manual,VXI Manual,"4,956 km",1st Owner,Petrol,Rohtak,"₹4,02,699"
165,2017 Maruti Wagon R 1.0,Manual,VXI Manual,"24,768 km",2nd Owner,Petrol,Rohtak,"₹3,72,599"
166,2018 Hyundai Creta,Manual,1.6 SX VTVT Manual,"25,894 km",1st Owner,Petrol,Rohtak,"₹9,31,399"
167,2019 Hyundai Creta,Automatic,1.6 VTVT SX AUTO Automatic,"9,627 km",1st Owner,Petrol,Rohtak,"₹13,17,299"
168,2014 Maruti Celerio,Manual,VXI Manual,"44,150 km",1st Owner,Petrol,Rohtak,"₹3,16,599"
169,2015 Ford Ecosport,Automatic,1.5 TITANIUM TI VCT AT Automatic,"55,859 km",1st Owner,Petrol,Rohtak,"₹5,64,899"
170,2020 Maruti New Wagon-R,Manual,1.0 LXI (O) Manual,"8,364 km",2nd Owner,Petrol,Rohtak,"₹4,57,799"
171,2020 Hyundai Creta,Manual,SX PETROL MT Manual,"10,671 km",1st Owner,Petrol,Rohtak,"₹13,66,899"
172,2014 Maruti Wagon R 1.0,Manual,VXI Manual,"45,680 km",1st Owner,Petrol,Rohtak,"₹3,30,299"
