,Name,Transmission type,Variant,Mileage,Owned,Fuel type,City,Price
982,2017 Hyundai Elite i20,Manual,ASTA 1.2 Manual,"35,389 km",1st Owner,Petrol,Pune,"₹3,06,899"
983,2019 Maruti New Wagon-R,,ZXI 1.2,"26,538 km",1st Owner,Petrol,Pune,"₹11,95,699"
984,2018 Maruti Wagon R 1.0,Manual,LXI CNG Manual,"32,994 km",1st Owner,Petrol + CNG,Pune,"₹9,20,399"
985,2019 Renault TRIBER,Manual,1.0 RXT Manual,"3,012 km",1st Owner,Petrol,Pune,"₹8,03,499"
986,2014 Maruti Alto 800,Manual,LXI Manual,"40,278 km",1st Owner,Petrol,Pune,"₹4,79,299"
987,2017 Hyundai Elite i20,Manual,SPORTZ 1.2 Manual,"34,422 km",1st Owner,Petrol,Pune,"₹5,89,299"
988,2018 Tata Tiago,Manual,XZ 1.2 REVOTRON Manual,"43,135 km",1st Owner,Petrol,Pune,"₹9,06,999"
989,2015 Maruti Alto 800,Manual,LXI Manual,"36,683 km",1st Owner,Petrol,Pune,"₹4,84,199"
990,2012 Hyundai i10,Manual,MAGNA 1.1 IRDE2 Manual,"33,893 km",1st Owner,Petrol,Pune,"₹8,21,899"
991,2017 Maruti Wagon R 1.0,Manual,VXI Manual,"33,826 km",1st Owner,Petrol,Pune,"₹5,95,899"
992,2016 Ford Ecosport,Automatic,1.5 TITANIUM TI VCT AT Automatic,"51,670 km",1st Owner,Petrol,Pune,"₹4,27,299"
993,2018 Maruti S Cross,Manual,ALPHA SHVS Manual,"28,912 km",1st Owner,Diesel,Pune,"₹7,25,999"
994,2019 Maruti Swift,Manual,VDI Manual,"37,819 km",1st Owner,Diesel,Pune,"₹5,27,399"
995,2009 Honda City,Automatic,V AT Automatic,"76,817 km",2nd Owner,Petrol,Pune,"₹7,76,299"
996,2018 Ford Ecosport,Manual,1.5 TITANIUM TI VCT Manual,"14,838 km",1st Owner,Petrol,Pune,"₹8,58,299"
997,2017 Maruti Baleno,Manual,DELTA 1.2 K12 Manual,"18,994 km",1st Owner,Petrol,Pune,"₹9,44,399"
998,2018 Maruti Baleno,Manual,DELTA 1.2 K12 Manual,"19,597 km",1st Owner,Petrol,Pune,"₹9,07,799"
999,2016 Honda Amaze,Automatic,1.2 SAT I VTEC Automatic,"17,869 km",2nd Owner,Petrol,Pune,"₹2,34,299"
1000,2018 Toyota Innova Crysta,Manual,2.4 VX 8 STR Manual,"50,919 km",1st Owner,Diesel,Pune,"₹6,65,799"
1001,2018 Ford Ecosport,Manual,TREND + 1.5 TI VCT AT Manual,"20,282 km",2nd Owner,Petrol,Pune,"₹6,67,299"
1002,2017 Renault Duster,Automatic,RXZ AMT 110 PS Automatic,"47,495 km",1st Owner,Diesel,Pune,"₹5,75,199"
1003,2016 Volkswagen Ameo,Manual,HIGHLINE 1.2 Manual,"52,783 km",1st Owner,Petrol,Pune,"₹5,34,799"
1004,2018 Maruti Celerio,Automatic,VXI AMT Automatic,"20,753 km",2nd Owner,Petrol,Pune,"₹4,58,499"
1005,2019 Volkswagen Polo,Manual,GT TSI Manual,"35,675 km",1st Owner,Petrol,Pune,"₹5,77,899"
1006,2016 Hyundai Elite i20,Manual,MAGNA 1.2 Manual,"1,17,299 km",2nd Owner,Petrol,Pune,"₹2,57,499"
1007,2019 MG HECTOR,Manual,SHARP 2.0 DIESEL Manual,"34,026 km",1st Owner,Diesel,Pune,"₹5,87,999"
1008,2020 Hyundai VENUE,Automatic,SX+ AT Automatic,"5,069 km",1st Owner,Petrol,Pune,"₹4,31,499"
1009,2019 Maruti OMNI E,,STD,"19,701 km",1st Owner,Petrol,Pune,"₹2,67,599"
1010,2013 Honda Brio,Manual,1.2 S MT I VTEC Manual,"54,432 km",1st Owner,Petrol,Pune,"₹2,69,899"
1011,2017 Datsun Redi Go,Manual,T (O) Manual,"17,774 km",1st Owner,Petrol,Pune,"₹4,13,999"
1012,2017 Hyundai Grand i10,Manual,MAGNA 1.2 KAPPA VTVT Manual,"20,910 km",1st Owner,Petrol,Pune,"₹6,68,399"
1013,2016 Hyundai Grand i10,Manual,SPORTS 1.2 VTVT Manual,"42,095 km",1st Owner,Petrol,Pune,"₹9,48,299"
1014,2017 Hyundai Elite i20,Manual,Magna Executive 1.2 Manual,"14,199 km",1st Owner,Petrol,Pune,"₹6,65,499"
1015,2016 Hyundai Grand i10,Manual,SPORTZ 1.2 KAPPA VTVT Manual,"24,234 km",1st Owner,Petrol,Pune,"₹3,37,199"
1016,2016 Hyundai Elite i20,Manual,MAGNA 1.2 Manual,"8,281 km",1st Owner,Petrol,Pune,"₹7,21,599"
1017,2014 Hyundai Eon,Manual,D LITE PLUS Manual,"48,235 km",1st Owner,Petrol,Pune,"₹6,18,099"
1018,2018 Hyundai Grand i10,Manual,SPORTS 1.2 VTVT Manual,"10,896 km",1st Owner,Petrol,Pune,"₹5,77,999"
1019,2016 Maruti Baleno,Manual,DELTA 1.2 K12 Manual,"45,554 km",1st Owner,Petrol,Pune,"₹5,29,899"
1020,2014 Toyota Fortuner,Automatic,3.0 AT 4X2 Automatic,"78,969 km",2nd Owner,Diesel,Pune,"₹17,98,999"
1021,2015 Volkswagen Polo,Automatic,GT TSI 1.2 PETROL AT Automatic,"25,394 km",2nd Owner,Petrol,Pune,"₹7,35,899"
1022,2017 Honda Jazz,Automatic,1.2 V AT Automatic,"49,422 km",1st Owner,Petrol,Pune,"₹8,44,899"
1023,2017 Hyundai Grand i10,Automatic,SPORTZ (O) 1.2 AT VTVT Automatic,"33,248 km",1st Owner,Petrol,Pune,"₹4,64,499"
1024,2016 Hyundai Grand i10,Manual,ASTA 1.2 (O) VTVT Manual,"86,068 km",1st Owner,Petrol,Pune,"₹4,79,599"
1025,2018 Maruti Swift,Manual,VXI Manual,"14,836 km",1st Owner,Petrol,Pune,"₹7,70,199"
1026,2015 Ford Ecosport,Automatic,1.5 TITANIUM TI VCT AT Automatic,"20,365 km",2nd Owner,Petrol,Pune,"₹4,89,399"
1027,2017 Honda City,Automatic,ZX CVT Automatic,"12,369 km",1st Owner,Petrol,Pune,"₹16,78,999"
1028,2018 Toyota Innova Crysta,Manual,2.4 VX 8 STR Manual,"33,736 km",1st Owner,Diesel,Pune,"₹11,46,099"
1029,2018 Ford Ecosport,,TREND + 1.5 TI VCT AT,"12,488 km",1st Owner,Petrol,Pune,"₹2,84,199"
1030,2016 Hyundai Grand i10,Manual,SPORTZ 1.2 KAPPA VTVT Manual,"47,324 km",1st Owner,Petrol,Pune,"₹3,29,799"
1031,2019 Honda Amaze,Automatic,VX AT I DTEC Automatic,"23,810 km",2nd Owner,Diesel,Pune,"₹2,62,999"
1032,2017 Hyundai Creta,Automatic,1.6 SX PLUS AUTO PETROL Automatic,"26,518 km",1st Owner,Petrol,Pune,"₹5,04,899"
1033,2019 Maruti Vitara Brezza,Manual,VDI AMT Manual,"10,813 km",1st Owner,Diesel,Pune,"₹4,34,899"
1034,2018 Hyundai NEW SANTRO,Automatic,1.1 SPORTS AMT Automatic,"7,307 km",1st Owner,Petrol,Pune,"₹5,71,399"
1035,2017 Hyundai Creta,Automatic,1.6 CRDI SX PLUS AUTO Automatic,"52,753 km",1st Owner,Diesel,Pune,"₹4,80,299"
1036,2017 Maruti Baleno,Manual,DELTA 1.2 K12 Manual,"21,954 km",1st Owner,Petrol,Pune,"₹5,25,399"
1037,2011 BMW 5 Series,Automatic,525D 3.0 Automatic,"77,266 km",1st Owner,Diesel,Pune,"₹2,34,899"
1038,2016 Hyundai Grand i10,Manual,SPORTZ 1.2 KAPPA VTVT Manual,"45,012 km",1st Owner,Petrol,Pune,"₹4,94,599"
1039,2015 Hyundai Grand i10,Manual,MAGNA 1.2 VTVT Manual,"16,048 km",1st Owner,Petrol,Pune,"₹5,38,199"
1040,2018 Honda WR-V,Manual,1.5 i-DTEC VX MT Manual,"41,342 km",1st Owner,Diesel,Pune,"₹15,20,299"
1041,2020 Maruti Eeco,Manual,5 STR CNG WITH AC PLUSHTR Manual,"10,856 km",1st Owner,Petrol + CNG,Pune,"₹5,75,199"
1042,2018 Maruti Celerio,Manual,VXI CNG OPT Manual,"30,170 km",1st Owner,Petrol + CNG,Pune,"₹6,22,599"
1043,2017 Maruti Celerio,Automatic,VXI AMT Automatic,"6,747 km",1st Owner,Petrol,Pune,"₹5,31,499"
1044,2015 Maruti Alto 800,Manual,LXI Manual,"4,562 km",1st Owner,Petrol,Pune,"₹4,64,699"
1045,2018 Maruti Alto 800,Manual,LXI Manual,"17,517 km",1st Owner,Petrol,Pune,"₹5,84,299"
1046,2010 Hyundai i20,Manual,MAGNA O 1.2 Manual,"87,846 km",2nd Owner,Petrol + CNG,Pune,"₹5,85,399"
1047,2018 Datsun Go Plus,Manual,T Manual,"24,307 km",1st Owner,Petrol,Pune,"₹10,01,499"
1048,2015 Maruti Ertiga,Manual,ZDI Manual,"49,628 km",1st Owner,Diesel,Pune,"₹17,86,499"
1049,2013 Hyundai Verna,Manual,FLUIDIC 1.6 EX VTVT Manual,"44,618 km",2nd Owner,Petrol,Pune,"₹7,49,999"
1050,2012 Maruti Wagon R 1.0,Manual,LXI CNG Manual,"15,721 km",1st Owner,Petrol + CNG,Pune,"₹4,22,599"
1051,2019 Hyundai Creta,,1.6 SX (O) VTVT,"10,563 km",1st Owner,Petrol,Pune,"₹7,83,299"
1052,2014 Maruti Swift,Manual,VDI Manual,"64,412 km",1st Owner,Diesel,Pune,"₹11,00,199"
1053,2015 Honda City,Manual,VX MT PETROL Manual,"50,169 km",1st Owner,Petrol,Pune,"₹8,25,399"
1054,2015 Maruti Celerio,Automatic,ZXI AMT Automatic,"14,477 km",1st Owner,Petrol,Pune,"₹5,07,999"
1055,2017 Honda City,Manual,V CVT Manual,"43,777 km",1st Owner,Petrol,Pune,"₹11,77,199"
1056,2020 Maruti New Wagon-R,Manual,1.0 LXI (O) Manual,"8,464 km",1st Owner,Petrol,Pune,"₹5,77,899"
1057,2017 Hyundai Elite i20,Manual,ASTA 1.2 Manual,"15,229 km",1st Owner,Petrol,Pune,"₹15,54,799"
1058,2014 Hyundai Eon,Manual,D LITE PLUS Manual,"22,111 km",2nd Owner,Petrol,Pune,"₹4,72,599"
1059,2017 Tata Hexa,Automatic,Varicor 400 XTA Automatic,"1,19,360 km",1st Owner,Diesel,Pune,"₹3,78,399"
1060,2018 Maruti Swift,Manual,VXI Manual,"44,546 km",1st Owner,Petrol,Pune,"₹8,16,499"
1061,2014 Volkswagen Polo,Manual,HIGHLINE1.2L PETROL Manual,"47,941 km",1st Owner,Petrol,Pune,"₹4,91,500"
1062,2015 Ford Figo Aspire,Manual,1.5 TITANIUM DIESEL Manual,"46,759 km",1st Owner,Diesel,Pune,"₹4,84,899"
1063,2018 Honda Amaze,Manual,1.2 VXMT I VTEC Manual,"23,942 km",1st Owner,Petrol,Pune,"₹4,43,699"
1064,2018 Hyundai Creta,Manual,1.6 SX (O) VTVT Manual,"27,891 km",1st Owner,Petrol,Pune,"₹2,99,499"
1065,2017 Hyundai Creta,Manual,1.6 SX PLUS PETROL Manual,"69,215 km",2nd Owner,Petrol,Pune,"₹3,28,899"
1066,2019 Maruti Celerio,Manual,VXI CNG Manual,"20,076 km",1st Owner,Petrol + CNG,Pune,"₹1,63,299"
1067,2014 Hyundai Grand i10,Manual,ASTA AT 1.2 KAPPA VTVT Manual,"25,874 km",1st Owner,Petrol,Pune,"₹3,04,899"
1068,2017 Honda WR-V,Manual,1.2 i-VTEC VX MT Manual,"17,944 km",1st Owner,Petrol,Pune,"₹6,61,199"
1069,2019 Maruti Dzire,Manual,VXI Manual,"19,015 km",1st Owner,Petrol,Pune,"₹4,02,899"
1070,2017 Maruti Baleno,Manual,DELTA 1.2 K12 Manual,"60,665 km",2nd Owner,Petrol + CNG,Pune,"₹3,13,899"
1071,2016 Maruti Alto 800,Manual,LXI CNG Manual,"24,792 km",3rd Owner,Petrol + CNG,Pune,"₹12,73,499"
1072,2009 Toyota Camry,Automatic,W4 AT Automatic,"99,864 km",1st Owner,Petrol,Pune,"₹4,88,399"
1073,2017 Hyundai Elite i20,Manual,SPORTZ 1.2 Manual,"10,352 km",1st Owner,Petrol,Pune,"₹7,18,499"
1074,2017 Maruti Dzire,Automatic,ZXI AMT Automatic,"1,16,512 km",1st Owner,Petrol,Pune,"₹4,37,799"
1075,2017 Hyundai Xcent,Manual,E PLUS Manual,"45,922 km",1st Owner,Petrol,Pune,"₹8,74,699"
1076,2015 Maruti Swift,Manual,VDI ABS Manual,"49,764 km",1st Owner,Diesel,Pune,"₹5,06,399"
1077,2017 Maruti Wagon R 1.0,Manual,VXI Manual,"45,696 km",1st Owner,Petrol,Pune,"₹6,36,799"
1078,2017 Maruti Dzire,Manual,VDI Manual,"49,328 km",1st Owner,Diesel,Pune,"₹2,42,999"
1079,2017 Maruti Dzire,Automatic,VXI AMT Automatic,"19,822 km",1st Owner,Petrol,Pune,"₹10,60,499"
1080,2016 Maruti Vitara Brezza,Manual,ZDI PLUS DUAL TONE Manual,"39,765 km",1st Owner,Diesel,Pune,"₹5,12,199"
1081,2014 Maruti Wagon R 1.0,Manual,VXI Manual,"19,713 km",1st Owner,Petrol,Pune,"₹4,79,199"
1082,2012 Honda City,Manual,S MT PETROL Manual,"79,967 km",1st Owner,Petrol,Pune,"₹4,66,199"
1083,2016 Toyota Innova Crysta,Manual,2.4 GX 8 STR Manual,"37,961 km",1st Owner,Diesel,Pune,"₹6,06,799"
1084,2017 Maruti Dzire,Manual,VDI Manual,"1,07,185 km",1st Owner,Diesel,Pune,"₹11,57,199"
1085,2017 Maruti Dzire,Manual,ZDI Manual,"40,204 km",1st Owner,Diesel,Pune,"₹8,97,599"
1086,2017 Hyundai Elite i20,Manual,ASTA 1.2 (O) Manual,"11,375 km",1st Owner,Petrol,Pune,"₹5,29,999"
1087,2016 Hyundai Creta,Automatic,1.6 SX PLUS AUTO PETROL Automatic,"66,297 km",1st Owner,Petrol,Pune,"₹3,94,999"
1088,2016 Maruti Baleno,Automatic,ZETA 1.2 K12 CVT Automatic,"13,364 km",1st Owner,Petrol,Pune,"₹7,10,299"
1089,2019 KIA SELTOS,,GTX+ 1.4 MT,"5,348 km",1st Owner,Petrol,Pune,"₹6,53,799"
1090,2017 Toyota Innova Crysta,Manual,2.4 VX 8 STR Manual,"68,460 km",1st Owner,Diesel,Pune,"₹5,44,699"
1091,2018 Honda WR-V,Manual,1.2 i-VTEC VX MT Manual,"18,513 km",1st Owner,Petrol,Pune,"₹2,90,599"
1092,2018 Hyundai Creta,Manual,1.6 SX AT CRDI Manual,"42,360 km",2nd Owner,Diesel,Pune,"₹3,07,299"
1093,2020 Hyundai AURA,Manual,SX O MT 1.2 Diesel Manual,"2,963 km",1st Owner,Diesel,Pune,"₹5,72,999"
1094,2010 Hyundai i10,Manual,MAGNA 1.2 Manual,"35,915 km",1st Owner,Petrol,Pune,"₹5,87,499"
1095,2016 Ford New Figo,Manual,1.2 TITANIUM Manual,"21,454 km",3rd Owner,Petrol,Pune,"₹5,21,499"
1096,2018 Ford Ecosport,Manual,1.5 TITANIUM PLUS TI VCT AT Manual,"11,860 km",1st Owner,Petrol,Pune,"₹4,54,399"
1097,2018 Honda WR-V,Manual,1.2 i-VTEC VX MT Manual,"16,631 km",1st Owner,Petrol,Pune,"₹3,80,399"
1098,2018 Maruti Celerio,Manual,ZXI Manual,"10,199 km",1st Owner,Petrol,Pune,"₹6,75,899"
1099,2015 Hyundai Elite i20,Manual,ASTA 1.2 Manual,"64,342 km",1st Owner,Petrol,Pune,"₹6,54,399"
1100,2018 Maruti Dzire,Manual,VXI Manual,"15,755 km",1st Owner,Petrol,Pune,"₹7,82,399"
1101,2015 Toyota Innova,Manual,2.5 VX 7 STR BS IV Manual,"1,47,479 km",1st Owner,Diesel,Pune,"₹3,45,099"
1102,2021 RENAULT Kiger,Manual,RXZ 1.0 TURBO MT Manual,"8,484 km",1st Owner,Petrol,Pune,"₹3,80,799"
1103,2014 Hyundai Elite i20,Manual,ASTA 1.2 Manual,"43,096 km",2nd Owner,Petrol,Pune,"₹14,79,099"
1104,2018 Hyundai Verna,Automatic,1.6 SX VTVT AT (O) Automatic,"36,856 km",1st Owner,Petrol,Pune,"₹7,04,699"
1105,2018 Toyota YARIS,Manual,VX CVT Manual,"20,272 km",1st Owner,Petrol,Pune,"₹7,37,699"
1106,2019 Hyundai VENUE,,1.0 TURBO GDI SX+ AT,"8,459 km",1st Owner,Petrol,Pune,"₹6,50,599"
1107,2017 Hyundai i20 Active,Manual,1.2 S Manual,"57,900 km",1st Owner,Petrol,Pune,"₹8,79,099"
1108,2020 MG HECTOR,Automatic,SMART DCT PETROL Automatic,"9,047 km",1st Owner,Petrol,Pune,"₹6,76,899"
1109,2019 Hyundai GRAND I10 NIOS,Automatic,SPORTZ 1.2 AT Automatic,"2,047 km",1st Owner,Petrol,Pune,"₹16,28,399"
1110,2017 Honda WR-V,Manual,1.2 i-VTEC VX MT Manual,"1,00,164 km",1st Owner,Petrol,Pune,"₹15,50,499"
1111,2016 Hyundai i20 Active,Manual,1.4 S Manual,"82,548 km",1st Owner,Diesel,Pune,"₹7,64,399"
1112,2019 Hyundai VENUE,Manual,1.4 CRDI S MT Manual,"11,482 km",1st Owner,Diesel,Pune,"₹14,48,299"
1113,2019 Hyundai VENUE,,1.0 Turbo GDI DCT SX+DT,"15,842 km",1st Owner,Petrol,Pune,"₹8,58,799"
1114,2020 Maruti XL6,Automatic,ALPHA AT SHVS Automatic,"11,548 km",1st Owner,Petrol,Pune,"₹2,53,799"
1115,2014 Maruti Celerio,Manual,VXI Manual,"22,732 km",1st Owner,Petrol,Pune,"₹4,00,899"
1116,2019 Ford Figo Aspire,Manual,1.2 TITANIUM PETROL Manual,"14,526 km",1st Owner,Petrol,Pune,"₹9,07,999"
1117,2019 KIA SELTOS,Manual,HTK 1.5 PETROL Manual,"12,872 km",1st Owner,Petrol,Pune,"₹8,77,699"
1118,2018 Ford Figo Aspire,Manual,1.5 TREND DIESEL Manual,"47,965 km",1st Owner,Diesel,Pune,"₹4,62,999"
1119,2016 Hyundai Elite i20,Manual,MAGNA 1.2 Manual,"14,207 km",1st Owner,Petrol,Pune,"₹5,28,599"
1120,2016 Maruti Baleno,Manual,ZETA 1.2 K12 Manual,"50,022 km",1st Owner,Petrol,Pune,"₹6,78,599"
1121,2017 Maruti Ertiga,Manual,ZDI PLUS SHVS Manual,"15,427 km",1st Owner,Diesel,Pune,"₹10,57,899"
1122,2015 Toyota Innova,Manual,2.5 VX 7 STR BS IV Manual,"89,358 km",3rd Owner,Diesel,Pune,"₹8,74,099"
1123,2020 Maruti Swift,Manual,VXI Manual,"6,008 km",1st Owner,Petrol,Pune,"₹5,31,999"
1124,2016 Maruti Ciaz,Manual,ZDI+ SHVS Manual,"41,742 km",1st Owner,Diesel,Pune,"₹11,49,399"
1125,2019 Maruti Swift,Manual,ZXI Manual,"14,072 km",1st Owner,Petrol,Pune,"₹11,01,899"
1126,2019 KIA SELTOS,Manual,GTX+ 1.4 MT Manual,"12,046 km",1st Owner,Petrol,Pune,"₹10,95,699"
1127,2017 Hyundai Elite i20,Manual,ASTA 1.2 Manual,"22,433 km",1st Owner,Petrol,Pune,"₹5,91,499"
1128,2016 Maruti Celerio,Manual,ZXI OPT Manual,"39,936 km",2nd Owner,Petrol,Pune,"₹18,03,299"
1129,2018 Ford Figo Aspire,Manual,1.2 Trend+ Petrol Manual,"5,811 km",1st Owner,Petrol,Pune,"₹7,37,299"
1130,2017 Hyundai Elite i20,Manual,SPORTZ 1.4 Manual,"68,595 km",2nd Owner,Diesel,Pune,"₹7,12,399"
1131,2020 Maruti New Wagon-R,Automatic,ZXI 1.2L AGS Automatic,"3,386 km",1st Owner,Petrol,Pune,"₹6,03,299"
1132,2017 Hyundai Elite i20,Manual,ASTA 1.2 (O) Manual,"72,344 km",1st Owner,Petrol,Pune,"₹9,25,799"
1133,2018 Maruti Swift,Manual,VXI Manual,"38,198 km",1st Owner,Petrol,Pune,"₹11,01,699"
1134,2018 Ford Ecosport,Manual,1.5 TITANIUM TI VCT Manual,"19,049 km",1st Owner,Petrol,Pune,"₹11,27,199"
1135,2016 Maruti Swift,Manual,ZXI Manual,"54,688 km",1st Owner,Petrol,Pune,"₹3,73,399"
1136,2018 Maruti Dzire,Manual,VXI Manual,"19,340 km",2nd Owner,Petrol,Pune,"₹5,92,699"
1137,2017 Maruti Baleno,Manual,ALPHA 1.2 K12 Manual,"69,269 km",1st Owner,Petrol,Pune,"₹12,03,199"
1138,2018 Ford Ecosport,Manual,1.5 TITANIUM TI VCT Manual,"8,925 km",1st Owner,Petrol,Pune,"₹5,47,099"
1139,2018 Ford Figo Aspire,Manual,1.5 TREND DIESEL Manual,"28,177 km",1st Owner,Diesel,Pune,"₹5,28,899"
1140,2019 Maruti Swift,Automatic,ZXI AMT Automatic,"26,749 km",1st Owner,Petrol,Pune,"₹5,43,299"
1141,2019 Honda City,Automatic,ZX CVT Automatic,"12,680 km",1st Owner,Petrol,Pune,"₹8,65,299"
1142,2019 Maruti Dzire,Manual,VXI Manual,"14,781 km",1st Owner,Petrol,Pune,"₹9,68,799"
1143,2016 Maruti Baleno,Manual,DELTA 1.2 K12 Manual,"10,938 km",1st Owner,Petrol,Pune,"₹6,40,999"
1144,2017 Maruti Swift,Manual,VXI Manual,"6,595 km",1st Owner,Petrol,Pune,"₹6,82,399"
1145,2018 Ford Ecosport,Manual,1.0 ECOBOOST TITANIUM SPORTS(SUNROOF) Manual,"17,005 km",2nd Owner,Petrol,Pune,"₹6,59,799"
1146,2012 Honda City,Manual,1.5 E MT PETROL Manual,"43,880 km",1st Owner,Petrol,Pune,"₹17,78,199"
1147,2017 Maruti Swift,Manual,VXI OPT Manual,"16,759 km",1st Owner,Petrol,Pune,"₹6,06,199"
1148,2018 Hyundai NEW SANTRO,Manual,1.1 SPORTS AMT Manual,"4,972 km",1st Owner,Petrol,Pune,"₹3,60,599"
1149,2019 Ford Ecosport,Manual,1.5 TITANIUM TI VCT Manual,"17,463 km",1st Owner,Petrol,Pune,"₹5,83,499"
1150,2012 Maruti Swift Dzire,Manual,VDI BS IV Manual,"59,496 km",1st Owner,Diesel,Pune,"₹6,24,499"
1151,2014 Maruti Swift,Manual,VXI Manual,"25,412 km",2nd Owner,Petrol,Pune,"₹6,32,799"
1152,2012 Skoda Rapid,Manual,ELEGANCE 1.6 MPFI MT Manual,"79,362 km",1st Owner,Diesel,Bengaluru,"₹6,18,699"
1153,2015 Hyundai Elite i20,Manual,SPORTZ 1.2 Manual,"39,706 km",1st Owner,Diesel,Bengaluru,"₹5,48,599"
1154,2012 Maruti Wagon R 1.0,Manual,VXI Manual,"6,873 km",1st Owner,Petrol,Bengaluru,"₹7,58,799"
1155,2011 Tata Indica Vista,Manual,VX QUADRAJET Manual,"59,285 km",1st Owner,Petrol,Bengaluru,"₹4,97,299"
1156,2013 Maruti Wagon R 1.0,Manual,VXI Manual,"57,606 km",1st Owner,Diesel,Bengaluru,"₹6,56,499"
1157,2012 Maruti Swift,Manual,VXI Manual,"32,683 km",1st Owner,Diesel,Bengaluru,"₹6,04,099"
1158,2015 Maruti Swift,Manual,VXI Manual,"24,446 km",1st Owner,Diesel,Bengaluru,"₹7,71,599"
1159,2014 Maruti Celerio,Automatic,VXI AMT Automatic,"10,458 km",1st Owner,Petrol,Bengaluru,"₹6,28,599"
1160,2017 Maruti Swift,Manual,ZXI Manual,"18,943 km",1st Owner,Petrol,Bengaluru,"₹7,22,799"
1161,2015 Maruti Wagon R 1.0,Manual,VXI Manual,"45,123 km",1st Owner,Diesel,Bengaluru,"₹11,09,299"
1162,2018 Ford FREESTYLE,Manual,TITANIUM 1.5 TDCI Manual,"4,807 km",1st Owner,Petrol,Bengaluru,"₹6,80,199"
1163,2012 Maruti Alto 800,Manual,LXI Manual,"33,041 km",1st Owner,Diesel,Bengaluru,"₹5,69,799"
1164,2011 Maruti Alto,Manual,LXI Manual,"22,961 km",1st Owner,Petrol,Bengaluru,"₹5,52,299"
1165,2018 Volkswagen Ameo,Manual,HIGHLINE PLUS 1.0 Manual,"42,182 km",1st Owner,Petrol,Bengaluru,"₹9,15,499"
1166,2018 Ford FREESTYLE,Manual,TITANIUM 1.2 TI-VCT MT Manual,"10,102 km",1st Owner,Petrol,Bengaluru,"₹4,76,599"
1167,2018 Ford FREESTYLE,Manual,TITANIUM 1.2 TI-VCT MT Manual,"1,33,745 km",1st Owner,Diesel,Bengaluru,"₹5,21,499"
1168,2018 Ford FREESTYLE,Manual,TITANIUM 1.2 TI-VCT MT Manual,"20,579 km",1st Owner,Petrol,Bengaluru,"₹5,21,799"
1169,2018 Ford FREESTYLE,Manual,TITANIUM 1.2 TI-VCT MT Manual,"38,942 km",2nd Owner,Petrol,Bengaluru,"₹8,95,899"
1170,2016 Hyundai Elite i20,Manual,ASTA 1.2 Manual,"59,639 km",1st Owner,Diesel,Bengaluru,"₹5,15,099"
1171,2013 Maruti Swift,Manual,VDI Manual,"8,660 km",1st Owner,Petrol,Bengaluru,"₹4,07,299"
1172,2018 Ford FREESTYLE,Manual,TITANIUM 1.2 TI-VCT MT Manual,"88,705 km",2nd Owner,Petrol,Bengaluru,"₹12,12,499"
1173,2016 Hyundai Creta,,1.6 SX CRDI,"50,722 km",2nd Owner,Petrol,Bengaluru,"₹6,02,199"
1174,2015 Hyundai Elite i20,Manual,ASTA 1.4 CRDI Manual,"56,101 km",1st Owner,Petrol,Bengaluru,"₹9,19,099"
1175,2016 Maruti Alto 800,Manual,LXI Manual,"63,769 km",1st Owner,Diesel,Bengaluru,"₹3,33,999"
1176,2016 Maruti Baleno,Manual,DELTA 1.2 K12 Manual,"1,21,572 km",1st Owner,Petrol,Bengaluru,"₹8,57,699"
1177,2017 Maruti Baleno,Manual,DELTA 1.2 K12 Manual,"34,439 km",1st Owner,Petrol,Bengaluru,"₹5,09,099"
1178,2016 Mahindra TUV300,Manual,T8 Manual,"62,156 km",1st Owner,Petrol,Bengaluru,"₹9,43,499"
1179,2014 Maruti Swift Dzire,Manual,VXI 1.2 BS IV Manual,"35,234 km",1st Owner,Petrol,Bengaluru,"₹7,00,199"
1180,2019 Volkswagen Polo,Manual,Trendline 1.0 L Petrol Manual,"62,573 km",1st Owner,Petrol,Bengaluru,"₹9,57,699"
1181,2018 Maruti Celerio,Automatic,ZXI ABS AMT Automatic,"29,297 km",2nd Owner,Petrol,Bengaluru,"₹4,84,299"
1182,2015 Hyundai Elite i20,Manual,ASTA 1.4 CRDI Manual,"33,895 km",2nd Owner,Diesel,Bengaluru,"₹10,48,499"
1183,2008 Hyundai Santro Xing,Manual,GL Manual,"66,746 km",1st Owner,Petrol,Bengaluru,"₹8,09,399"
1184,2014 Maruti Swift Dzire,Manual,ZDI Manual,"17,357 km",1st Owner,Petrol,Bengaluru,"₹4,14,399"
1185,2016 Chevrolet Beat,Manual,LTZ PETROL Manual,"14,079 km",2nd Owner,Petrol,Bengaluru,"₹4,60,799"
1186,2019 Hyundai Elite i20,Manual,1.2 MAGNA PLUS VTVT Manual,"15,845 km",1st Owner,Petrol,Bengaluru,"₹9,88,699"
1187,2016 Maruti Baleno,Manual,DELTA 1.2 K12 Manual,"24,522 km",1st Owner,Petrol,Bengaluru,"₹4,76,799"
1188,2016 Maruti Alto 800,Manual,VXI Manual,"25,488 km",1st Owner,Petrol,Bengaluru,"₹3,82,799"
1189,2018 Hyundai Elite i20,Manual,ASTA 1.2 DUAL TONE Manual,"5,095 km",1st Owner,Petrol,Bengaluru,"₹3,60,799"
